"code"	"name"	"region"
"AL"	"Alabama"	"Southeast"
"AK"	"Alaska"	"Far West"
"AZ"	"Arizona"	"Southwest"
"AR"	"Arkansas"	"Southeast"
"CA"	"California"	"Far West"
"CO"	"Colorado"	"Rocky Mountain"
"CT"	"Connecticut"	"New England"
"DE"	"Delaware"	"Mideast"
"FL"	"Florida"	"Southeast"
"GA"	"Georgia"	"Southeast"
"HI"	"Hawaii"	"Far West"
"ID"	"Idaho"	"Rocky Mountain"
"IL"	"Illinois"	"Great Lakes"
"IN"	"Indiana"	"Great Lakes"
"IA"	"Iowa"	"Plains"
"KS"	"Kansas"	"Plains"
"KY"	"Kentucky"	"Southeast"
"LA"	"Louisiana"	"Southeast"
"ME"	"Maine"	"New England"
"MD"	"Maryland"	"Mideast"
"MA"	"Massachusetts"	"New England"
"MI"	"Michigan"	"Great Lakes"
"MN"	"Minnesota"	"Plains"
"MS"	"Mississippi"	"Southeast"
"MO"	"Missouri"	"Plains"
"MT"	"Montana"	"Rocky Mountain"
"NE"	"Nebraska"	"Plains"
"NV"	"Nevada"	"Far West"
"NH"	"New Hampshire"	"New England"
"NJ"	"New Jersey"	"Mideast"
"NM"	"New Mexico"	"Southwest"
"NY"	"New York"	"Mideast"
"NC"	"North Carolina"	"Southeast"
"ND"	"North Dakota"	"Plains"
"OH"	"Ohio"	"Great Lakes"
"OK"	"Oklahoma"	"Southwest"
"OR"	"Oregon"	"Far West"
"PA"	"Pennsylvania"	"Mideast"
"RI"	"Rhode Island"	"New England"
"SC"	"South Carolina"	"Southeast"
"SD"	"South Dakota"	"Plains"
"TN"	"Tennessee"	"Southeast"
"TX"	"Texas"	"Southwest"
"UT"	"Utah"	"Rocky Mountain"
"VT"	"Vermont"	"New England"
"VA"	"Virginia"	"Southeast"
"WA"	"Washington"	"Far West"
"WV"	"West Virginia"	"Southeast"
"WI"	"Wisconsin"	"Great Lakes"
"WY"	"Wyoming"	"Rocky Mountain"
"DC"	"District of Columbia"	"Mideast"
